"","sub","post_delta_ref"
"173","7322031",4
"174","7322032",-8
"175","7322033",-3
"176","7322034",-10
"177","7322035",2
"178","7322036",3
"179","7322037",-3
"180","7322038",-20
"181","7322039",0
"182","7322040",-1
"183","7322041",-4
"184","7322042",-2
"185","7322046",-4
"186","7322081",-5
"187","8616932",-17
"188","8623989",-20
"189","8623990",8
"190","8623991",-2
"191","8623992",-7
"192","8623993",0
"193","8623995",2
"194","8623996",4
"195","8623997",2
"196","8623998",8
"197","8623999",2
"198","8624000",-7
"199","8624001",-5
"200","8624002",-10
"201","8624003",-1
"202","8624004",0
"203","8624005",-4
"204","8624006",-11
"205","8624007",-10
"206","8624008",6
"207","8624009",0
"208","8624010",0
"209","8624011",-6
"210","8624012",-2
"211","8624013",1
"212","8624014",-13
"213","8624015",-14
"214","8624016",-16
"215","8624017",10
"216","8624018",-4
"217","8624019",-1
"218","8624020",-6
"219","8624021",12
"220","8624022",2
"221","8624023",-3
"222","8624024",0
"223","8624025",-7
"224","8624026",3
"225","8624027",18
"226","8624028",-2
"227","8624029",4
"228","8624030",6
"229","8624031",-8
"230","8624032",1
"231","8624033",6
"232","8624034",-7
"233","8624035",-5
"234","8624037",4
"235","8624039",-9
"236","8624040",3
"237","8624041",0
"238","8624042",-5
"239","8624043",0
"240","8624044",-10
"241","8624045",-4
"242","8624046",-5
"243","8624048",-7
"244","8624050",-12
"245","8624051",2
"246","8624052",2
"247","8624053",4
"248","8624054",-5
"249","8624055",-3
"250","8624056",-2
"251","8624057",-2
"252","8624058",-2
"253","8624059",6
"254","8624062",-10
"255","8624063",-3
"256","8624064",-8
"257","8624065",0
"258","8624066",0
"259","8624067",-13
"260","8624068",6
"261","8624069",7
"262","8624070",1
"263","8624072",-8
"264","8624073",-4
"265","8624074",-5
"266","8624077",0
"267","8624078",5
"268","8624087",1
"269","8624088",8
"270","8624091",-3
"271","8624092",3
"272","8624093",-1
"273","8624094",1
"274","8624097",-16
"275","8624109",-3
"276","8624113",0
"277","8624117",-18
"278","8624122",-4
"279","8624142",0
"280","8624144",5
"281","8624156",-2
"282","8624170",1
"283","8624173",0
"284","8624179",2
"285","8624204",-6
"286","8716020",3
"287","8716022",-2
"288","8722108",4
"289","8722109",-6
"290","8722110",-4
"291","8728565",-8
"292","8728566",-15
"293","8728567",6
"294","8728568",-17
"295","8728569",-1
"296","8728570",0
"297","8728571",-2
"298","8728572",-10
"299","8728573",-3
"300","8728574",0
"301","8728575",-13
"302","8728576",0
"303","8728577",-2
"304","8728578",2
"305","8728579",0
"306","8728581",-3
"307","8728582",2
"308","8728583",-5
"309","8728585",6
"310","8728586",-4
"311","8728587",-8
"312","8728588",-20
"313","8728589",-8
"314","8728607",0
"315","8728610",10
"316","8728615",-6
"317","8728621",10
"318","8728622",-4
"319","8728623",-8
"320","8728624",3
"321","8728625",2
"322","8728631",3
"323","8728634",-5
"324","8728654",1
"325","8743736",-8
"326","8743737",-14
"327","8743738",-4
"328","8743740",3
"329","8743741",4
"330","8750031",-2
"331","8750033",0
"332","8750034",0
"333","8750275",-3
"334","8750278",0
"335","8750281",5
"336","8756676",-3
"337","8756704",10
"338","8756708",0
"339","8758609",1
"340","8758610",2
"341","8758611",-5
"342","8758613",1
"343","8758719",-1
"344","8765800",-4
"345","8765802",4
"346","8766696",-7
"347","8766697",-6
"348","8766698",6
"349","8766699",-20
"350","8766700",5
"351","8766701",6
"352","8766702",1
"353","8766703",-4
"354","8766704",6
"355","8766705",-5
"356","8766943",-13
"357","8766944",-10
"358","8766945",7
"359","8766946",3
"360","8766947",-6
"361","8766948",-1
"362","8766950",-2
"363","8766951",-9
"364","8766952",-4
"365","8766972",-4
"366","8772680",0
"367","8772681",15
"368","8772682",0
"369","8774373",5
"370","8774376",0
"371","8784408",-2
"372","8784409",-20
"373","8818798",-15
"374","8818805",-16
"375","8818955",10
"376","8818956",2
"377","8818957",5
"378","8818961",0
"379","9818103",3
"380","9818104",0
"381","9818105",2
"382","9818106",-1
"383","9818107",-2
"384","9818108",-13
"385","9818109",-20
"386","9818110",12
"387","9818111",-3
"388","9818113",0
"389","9818114",9
"390","9818115",4
"391","9818116",-1
"392","9818117",-5
"393","9818119",-8
"394","9818120",-5
"395","9818121",11
"396","9818122",1
"397","9818123",0
"398","9818124",-6
"399","9818125",-7
"400","9818126",0
"401","9818127",-5
"402","9818128",-2
"403","9818129",-9
"404","9818130",5
"405","9818131",4
"406","9818132",-8
"407","9818133",-20
"408","9818134",7
"409","9818135",3
"410","9818136",0
"411","9818137",0
"412","9818138",4
"413","9818139",0
"414","9818140",-2
"415","9818141",0
"416","9818142",0
"417","9818143",-2
"418","9818144",3
"419","9818145",1
"420","9818146",0
"421","9818147",1
"422","9818148",3
"423","9818149",0
"424","9818150",-6
"425","9818151",-6
"426","9818152",4
"427","9818153",-2
"428","9818155",4
"429","9818157",1
"430","9818158",3
"431","9818160",12
"432","9818161",-6
"433","9818162",1
"434","9818163",0
"435","9818164",-6
"436","9818165",5
"437","9818166",8
"438","9818167",-4
"439","9818168",-6
"440","9818169",0
"441","9818170",0
"442","9818171",-3
"443","9818172",1
"444","9818173",2
"445","9818174",3
"446","9818175",0
"447","9818176",-3
"448","9818177",-2
"449","9818178",9
"450","9818179",2
"451","9818180",-7
"452","9818181",0
"453","9818182",-8
"454","9818183",2
"455","9818189",3
"456","9818193",5
"457","9818200",0
"458","9818216",4
"459","9818252",-13
"460","9818256",-9
"461","9859277",0
"462","9859694",8
"463","9859696",-5
"464","9859697",-3
"465","9859698",3
"466","9859699",-2
"467","9859700",-20
"468","9859701",6
"469","9859703",-4
"470","9859704",2
"471","9859705",-2
"472","9859706",-1
"473","9859707",-5
"474","9859708",-7
"475","9859709",0
"476","9859710",2
"477","9859711",-8
"478","9859712",6
"479","9859713",9
"480","9859716",6
"481","9859722",0
"482","9864881",-3
"483","9864889",1
"484","9864890",0
"485","9865052",-3
"486","10933689",-1
"487","10933690",-1
"488","10933691",-1
"489","10933692",-3
"490","10933693",1
"491","10933694",-2
"492","10933695",5
"493","10933696",2
"494","10933697",6
"495","10933698",1
"496","10933699",-10
"497","10933700",-1
"498","10933701",-3
"499","10933702",3
"500","10933703",0
"501","10933704",-1
"502","10933705",2
"503","10933876",0
"504","10933877",-5
"505","10933878",1
"506","10933879",-9
"507","10933880",-17
"508","10933881",-8
"509","10933882",0
"510","10933884",0
"511","10933885",-10
"512","10933886",4
"513","10933887",0
"514","10933888",0
"515","10933889",3
"516","10933890",0
"517","10933892",-4
"518","10933893",-4
"519","10933894",-5
"520","10933895",0
"521","10933896",0
"522","10933897",-7
"523","10934054",2
"524","10934055",-14
"525","10934056",0
"526","10934057",-2
"527","10934058",-16
"528","10934059",1
"529","10934060",-12
"530","10934061",-4
"531","10934062",0
"532","10934063",0
"533","10934064",0
"534","10934065",0
"535","10934066",-2
"536","10934067",0
"537","10934068",12
"538","10934069",0
"539","10934070",-17
"540","10934071",-3
"541","10934074",-8
"542","10934355",-4
"543","10934356",0
"544","10934357",0
"545","10934358",-4
"546","10934359",0
"547","10934360",3
"548","10934361",-4
"549","10934362",1
"550","10934363",-13
"551","10934364",4
"552","10934365",-4
"553","10934366",-9
"554","10934367",-4
"555","10934368",2
"556","10934369",0
"557","10934370",0
"558","10934371",0
"559","10934372",-14
"560","10934373",0
"561","10934374",0
"562","10934375",0
"563","10936479",2
"564","10936484",-4
"565","10936489",-20
"566","10936497",-5
"567","10936551",2
"568","10936553",-14
"569","10936554",-7
"570","10936555",-10
"571","10936556",0
"572","10936557",1
"573","10936558",2
"574","10936559",-4
"575","10936560",-18
"576","10936561",-20
"577","10936562",6
"578","10936563",-6
"579","10936564",-9
"580","10936580",-14
"581","10937247",-12
"582","10937297",-2
"583","10937298",-4
"584","10937299",-20
"585","10937300",-20
"586","10937301",4
"587","10937302",-2
"588","10937303",3
"589","10937304",0
"590","10937305",12
"591","10937306",-1
"592","10937308",-2
"593","10937309",-6
