"","sub","Question","Response","age.cat","game"
"288","7312449","Question_3","No","Adolescents","Lott-Comp"
"289","7312438","Question_1","No","Adolescents","Lott-Coop"
"290","7312438","Question_3","No","Adolescents","Lott-Comp"
"291","7312442","Question_1","No","Adolescents","Lott-Coop"
"292","7312442","Question_3","No","Adolescents","Lott-Comp"
"293","7312440","Question_1","No","Adolescents","Lott-Coop"
"294","7312440","Question_3","No","Adolescents","Lott-Comp"
"295","7312444","Question_1","Non so","Adolescents","Lott-Coop"
"296","7312444","Question_3","No","Adolescents","Lott-Comp"
"297","7312454","Question_1","Sì","Adolescents","Lott-Coop"
"298","7312454","Question_3","Sì","Adolescents","Lott-Comp"
"299","7312434","Question_1","Sì","Adolescents","Lott-Coop"
"300","7312434","Question_3","Sì","Adolescents","Lott-Comp"
"301","7312432","Question_1","Sì","Adolescents","Lott-Coop"
"302","7312432","Question_3","No","Adolescents","Lott-Comp"
"303","7312445","Question_1","Non so","Adolescents","Lott-Coop"
"304","7312445","Question_3","Non so","Adolescents","Lott-Comp"
"305","7312436","Question_1","Sì","Adolescents","Lott-Coop"
"306","7312436","Question_3","Sì","Adolescents","Lott-Comp"
"307","7312431","Question_1","Sì","Adolescents","Lott-Coop"
"308","7312431","Question_3","Sì","Adolescents","Lott-Comp"
"309","7312439","Question_1","No","Adolescents","Lott-Coop"
"310","7312439","Question_3","No","Adolescents","Lott-Comp"
"311","7312435","Question_1","No","Adolescents","Lott-Coop"
"312","7312435","Question_3","No","Adolescents","Lott-Comp"
"313","7312433","Question_1","No","Adolescents","Lott-Coop"
"314","7312433","Question_3","No","Adolescents","Lott-Comp"
"315","7312446","Question_1","Non so","Adolescents","Lott-Coop"
"316","7312446","Question_3","Non so","Adolescents","Lott-Comp"
"317","7312441","Question_1","Non so","Adolescents","Lott-Coop"
"318","7312441","Question_3","No","Adolescents","Lott-Comp"
"319","7312430","Question_1","Sì","Adolescents","Lott-Coop"
"320","7312430","Question_3","Sì","Adolescents","Lott-Comp"
"321","7312450","Question_1","Sì","Adolescents","Lott-Coop"
"322","7312450","Question_3","Sì","Adolescents","Lott-Comp"
"323","7312443","Question_1","Non so","Adolescents","Lott-Coop"
"324","7312443","Question_3","Non so","Adolescents","Lott-Comp"
"325","7312437","Question_1","No","Adolescents","Lott-Coop"
"326","7312437","Question_3","Sì","Adolescents","Lott-Comp"
"327","7312345","Question_1","Sì","Adolescents","Lott-Coop"
"328","7312345","Question_3","No","Adolescents","Lott-Comp"
"329","7312358","Question_1","No","Adolescents","Lott-Coop"
"330","7312358","Question_3","No","Adolescents","Lott-Comp"
"331","7312353","Question_1","No","Adolescents","Lott-Coop"
"332","7312353","Question_3","No","Adolescents","Lott-Comp"
"333","7312350","Question_1","No","Adolescents","Lott-Coop"
"334","7312350","Question_3","No","Adolescents","Lott-Comp"
"335","7312340","Question_1","No","Adolescents","Lott-Coop"
"336","7312340","Question_3","No","Adolescents","Lott-Comp"
"337","7312354","Question_1","No","Adolescents","Lott-Coop"
"338","7312354","Question_3","No","Adolescents","Lott-Comp"
"339","7312366","Question_1","Sì","Adolescents","Lott-Coop"
"340","7312366","Question_3","Sì","Adolescents","Lott-Comp"
"341","7312367","Question_1","Sì","Adolescents","Lott-Coop"
"342","7312367","Question_3","No","Adolescents","Lott-Comp"
"343","7312344","Question_1","Sì","Adolescents","Lott-Coop"
"344","7312344","Question_3","No","Adolescents","Lott-Comp"
"345","7312355","Question_1","Sì","Adolescents","Lott-Coop"
"346","7312355","Question_3","Non so","Adolescents","Lott-Comp"
"347","7312346","Question_1","No","Adolescents","Lott-Coop"
"348","7312346","Question_3","No","Adolescents","Lott-Comp"
"349","7312339","Question_1","No","Adolescents","Lott-Coop"
"350","7312339","Question_3","Sì","Adolescents","Lott-Comp"
"351","7312349","Question_1","Sì","Adolescents","Lott-Coop"
"352","7312349","Question_3","No","Adolescents","Lott-Comp"
"353","7312348","Question_1","No","Adolescents","Lott-Coop"
"354","7312348","Question_3","No","Adolescents","Lott-Comp"
"355","7312356","Question_1","No","Adolescents","Lott-Coop"
"356","7312356","Question_3","Sì","Adolescents","Lott-Comp"
"357","7312347","Question_1","Non so","Adolescents","Lott-Coop"
"358","7312347","Question_3","Sì","Adolescents","Lott-Comp"
"359","7312351","Question_1","No","Adolescents","Lott-Coop"
"360","7312351","Question_3","No","Adolescents","Lott-Comp"
"361","7312357","Question_1","Sì","Adolescents","Lott-Coop"
"362","7312357","Question_3","No","Adolescents","Lott-Comp"
"363","7312341","Question_1","Sì","Adolescents","Lott-Coop"
"364","7312341","Question_3","No","Adolescents","Lott-Comp"
"365","7312338","Question_1","Sì","Adolescents","Lott-Coop"
"366","7312338","Question_3","No","Adolescents","Lott-Comp"
"367","7312343","Question_1","Sì","Adolescents","Lott-Coop"
"368","7312343","Question_3","Non so","Adolescents","Lott-Comp"
"369","7312953","Question_1","Sì","Children","Lott-Coop"
"370","7312953","Question_3","Sì","Children","Lott-Comp"
"371","7312968","Question_1","Sì","Children","Lott-Coop"
"372","7312968","Question_3","No","Children","Lott-Comp"
"373","8750275","Question_1","Sì","Adults","Lott-Coop"
"374","8750275","Question_3","No","Adults","Lott-Comp"
"375","8818956","Question_1","Sì","Adults","Lott-Coop"
"376","8818956","Question_3","Sì","Adults","Lott-Comp"
"377","8818961","Question_1","Sì","Adults","Lott-Coop"
"378","8818961","Question_3","Sì","Adults","Lott-Comp"
"379","8818955","Question_1","Sì","Adults","Lott-Coop"
"380","8818955","Question_3","Sì","Adults","Lott-Comp"
"381","8818957","Question_1","Sì","Adults","Lott-Coop"
"382","8818957","Question_3","Sì","Adults","Lott-Comp"
"383","8818805","Question_1","No","Adults","Lott-Coop"
"384","8818805","Question_3","No","Adults","Lott-Comp"
"385","8818798","Question_1","No","Adults","Lott-Coop"
"386","8818798","Question_3","Sì","Adults","Lott-Comp"
"387","8784408","Question_1","Sì","Adults","Lott-Coop"
"388","8784408","Question_3","Sì","Adults","Lott-Comp"
"389","8784409","Question_1","No","Adults","Lott-Coop"
"390","8784409","Question_3","No","Adults","Lott-Comp"
"391","8774373","Question_1","No","Adults","Lott-Coop"
"392","8774373","Question_3","Sì","Adults","Lott-Comp"
"393","8774376","Question_1","Sì","Adults","Lott-Coop"
"394","8774376","Question_3","Sì","Adults","Lott-Comp"
"395","8772682","Question_1","Sì","Adults","Lott-Coop"
"396","8772682","Question_3","Sì","Adults","Lott-Comp"
