"","sub","Gender","Age"
"162","7321773","F",11
"163","7321775","F",11
"164","7321779","M",10
"165","7321784","F",11
"166","7321786","M",12
"167","7321788","M",11
"168","7321801","M",11
"169","7321842","F",11
"170","7321845","F",11
"171","7321851","F",11
"172","7321853","M",12
"173","7321883","M",12
"174","7321884","M",13
"175","7321885","F",13
"176","7321886","F",12
"177","7321887","F",12
"178","7321888","F",12
"179","7321889","M",12
"180","7321890","M",13
"181","7321891","M",13
"182","7321892","M",12
"183","7321893","M",12
"184","7321894","F",12
"185","7321895","M",15
"186","7321896","M",12
"187","7321897","F",13
"188","7322021","F",13
"189","7322022","F",14
"190","7322023","M",13
"191","7322024","M",15
"192","7322025","M",14
"193","7322026","F",13
"194","7322027","M",13
"195","7322028","F",13
"196","7322029","M",14
"197","7322030","M",13
"198","7322031","F",13
"199","7322032","M",14
"200","7322033","F",13
"201","7322034","M",13
"202","7322035","M",14
"203","7322036","F",13
"204","7322037","F",13
"205","7322038","M",14
"206","7322039","F",13
"207","7322040","M",14
"208","7322041","F",14
"209","7322042","M",13
"210","7322046","M",14
"211","7322081","M",13
"212","8616932","F",25
"213","8623989","F",20
"214","8623990","F",19
"215","8623991","F",20
"216","8623992","F",19
"217","8623993","M",19
"218","8623995","F",19
"219","8623996","F",19
"220","8623997","F",20
"221","8623998","M",19
"222","8623999","F",20
"223","8624000","F",20
"224","8624001","F",19
"225","8624002","M",24
"226","8624003","F",20
"227","8624004","F",19
"228","8624005","M",20
"229","8624006","F",19
"230","8624007","F",19
"231","8624008","M",19
"232","8624009","F",19
"233","8624010","F",19
"234","8624011","F",20
"235","8624012","F",19
"236","8624013","F",19
"237","8624014","F",20
"238","8624015","F",20
"239","8624016","F",19
"240","8624017","F",20
"241","8624018","F",21
"242","8624019","F",24
"243","8624020","F",19
"244","8624021","F",19
"245","8624022","F",21
"246","8624023","F",21
"247","8624024","F",20
"248","8624025","M",20
"249","8624026","F",19
"250","8624027","F",19
"251","8624028","M",19
"252","8624029","F",19
"253","8624030","M",28
"254","8624031","M",23
"255","8624032","F",19
"256","8624033","F",22
"257","8624034",NA,20
"258","8624035","F",19
"259","8624037","F",20
"260","8624039","F",19
"261","8624040","F",20
"262","8624041","F",20
"263","8624042","F",22
"264","8624043","F",21
"265","8624044","F",19
"266","8624045","F",22
"267","8624046","F",20
"268","8624048","F",22
"269","8624050","F",19
"270","8624051","F",20
"271","8624052","M",20
"272","8624053","F",22
"273","8624054","F",19
"274","8624055","F",19
"275","8624056","M",21
"276","8624057","F",19
"277","8624058","F",19
"278","8624059","F",19
"279","8624062","F",21
"280","8624063","F",20
"281","8624064","F",21
"282","8624065","F",21
"283","8624066","F",19
"284","8624067","F",21
"285","8624068","F",19
"286","8624069","F",21
"287","8624070","F",22
"288","8624072","M",19
"289","8624073","F",21
"290","8624074","F",19
"291","8624077","F",20
"292","8624078","M",20
"293","8624087","F",20
"294","8624088","F",19
"295","8624091","F",20
"296","8624092","M",21
"297","8624093","F",20
"298","8624094","M",23
"299","8624097","F",19
"300","8624109","F",20
"301","8624113","F",20
"302","8624117","F",20
"303","8624122","F",21
"304","8624142","F",19
"305","8624144","F",19
"306","8624156","F",19
"307","8624170","F",19
"308","8624173","F",20
"309","8624179","F",20
"310","8624204","F",20
"311","8716020","M",27
"312","8716022","F",23
"313","8722108","F",28
"314","8722109","F",23
"315","8722110","F",25
