"","sub","mean_mars","version"
"82","7312438",0.6,"ver1"
"84","7312449",0.5,"ver1"
"85","7312446",0.266666666666667,"ver1"
"86","7312431",0.5625,"ver1"
"87","7312445",0.5,"ver1"
"90","7312454",0.3125,"ver1"
"91","7312450",0.625,"ver1"
"92","7312434",0.8,"ver1"
"94","7312430",0.5,"ver1"
"95","7312432",0.666666666666667,"ver1"
"96","7312433",0.1875,"ver1"
"97","7312444",0.3125,"ver1"
"98","7312435",0.3125,"ver1"
"99","7312439",0.3125,"ver1"
"100","7312443",0.533333333333333,"ver1"
"101","7312437",0.1875,"ver1"
"102","7312440",0.625,"ver1"
"104","7313412",0.75,"ver1"
"105","7313425",0.3125,"ver1"
"106","7313415",0.3125,"ver1"
"107","7313404",0.8,"ver1"
"109","7313407",0.0714285714285714,"ver1"
"111","7313421",0.3125,"ver1"
"112","7313406",0.461538461538462,"ver1"
"113","7313413",0.666666666666667,"ver1"
"114","7313408",0.25,"ver1"
"115","7313419",0.666666666666667,"ver1"
"117","7313414",0.625,"ver1"
"118","7313403",0.25,"ver1"
"120","7313420",0.25,"ver1"
"121","7313410",0.9375,"ver1"
"122","7313422",0.866666666666667,"ver1"
"123","7313423",0.571428571428571,"ver1"
"125","7313405",1,"ver1"
"126","7313409",0.625,"ver1"
"127","7312338",0.1875,"ver1"
"128","7312352",0.866666666666667,"ver1"
"129","7312366",0.866666666666667,"ver1"
"130","7312340",0.533333333333333,"ver1"
"131","7312349",0.466666666666667,"ver1"
"132","7312343",0.3125,"ver1"
"133","7312341",0.25,"ver1"
"134","7312344",0.4375,"ver1"
"135","7312347",0.466666666666667,"ver1"
"136","7312351",0.8,"ver1"
"137","7312353",0.0625,"ver1"
"138","7312350",0.375,"ver1"
"139","7312354",0.25,"ver1"
"140","7312339",0.733333333333333,"ver1"
"141","7312345",0.928571428571429,"ver1"
"142","7312342",0.5625,"ver1"
"143","7312367",0.5625,"ver1"
"144","7312357",0.923076923076923,"ver1"
"148","7312355",0.3125,"ver1"
"151","7312629",0.133333333333333,"ver1"
"152","7312621",0.3125,"ver1"
"153","7312623",0.4375,"ver1"
"154","7312617",0.1875,"ver1"
"157","7312607",0.5,"ver1"
"158","7312618",0.6875,"ver1"
"159","7312628",0.1875,"ver1"
"160","7312619",0.857142857142857,"ver1"
"161","7312610",0.6,"ver1"
"162","7312667",0.6,"ver1"
"163","7312609",0.6875,"ver1"
"164","7312665",0.6875,"ver1"
"165","7312622",0.125,"ver1"
"166","7312776",0.125,"ver1"
"167","7312613",0.533333333333333,"ver1"
"168","7312627",0.375,"ver1"
"169","7312612",0.454545454545455,"ver1"
"170","7312615",0.3125,"ver1"
"172","7312611",0.875,"ver1"
"173","7312658",0.875,"ver1"
"174","7312626",0.25,"ver1"
"175","7312625",0.6875,"ver1"
"176","7312608",0.75,"ver1"
"177","7321766",0.3125,"ver1"
"179","7321756",0.6,"ver1"
"180","7321752",0.25,"ver1"
"182","7321754",0.25,"ver1"
"183","7321784",0.25,"ver1"
"184","7321744",0.266666666666667,"ver1"
"185","7321755",0.125,"ver1"
"186","7321746",0.125,"ver1"
"187","7321786",0.125,"ver1"
"188","7321765",0.3125,"ver1"
"189","7321788",0.3125,"ver1"
"190","7321761",0.375,"ver1"
"191","7321853",0.375,"ver1"
"193","7321742",0.0625,"ver1"
"194","7321758",0.125,"ver1"
"195","7321745",0.5625,"ver1"
"197","7321751",0.125,"ver1"
"198","7321771",0.933333333333333,"ver1"
"200","7321760",0.3125,"ver1"
"201","7321743",0.25,"ver1"
"202","7321801",0.25,"ver1"
"205","7321763",0.642857142857143,"ver1"
"206","7321845",0.642857142857143,"ver1"
"207","7321773",0.25,"ver1"
"208","7321747",0.3125,"ver1"
"209","7321769",0.5,"ver1"
"210","7321779",0.5,"ver1"
"211","7321775",0.625,"ver1"
"212","7321842",0.625,"ver1"
"214","7321759",0.1875,"ver1"
"215","7321753",0.125,"ver1"
"218","7321757",0.5,"ver1"
"219","7321851",0.5,"ver1"
"220","7321892",0.6875,"ver1"
"221","7321889",0.4,"ver1"
"222","7321897",0.4375,"ver1"
"223","7321896",1,"ver1"
"224","7321885",0.625,"ver1"
"226","7321886",0.25,"ver1"
"227","7312957",0.8125,"ver1"
"229","7321888",0.333333333333333,"ver1"
"230","7321895",0.866666666666667,"ver1"
"231","7321883",0.866666666666667,"ver1"
"233","7321894",0.9375,"ver1"
"1100","8623989",0.9375,"ver1"
"2","8623990",0.8125,"ver1"
"3","8623991",0.9375,"ver1"
"410","8623997",1,"ver1"
"510","8623998",0.9375,"ver1"
"610","8624000",0.75,"ver1"
"710","8624005",1,"ver1"
"810","8624006",1,"ver1"
"9","8624007",0.8125,"ver1"
"1010","8624008",1,"ver1"
"1110","8624010",0.9375,"ver1"
"1210","8624013",0.75,"ver1"
"13","8624014",0.75,"ver1"
"1410","8624015",0.625,"ver1"
"15","8624020",1,"ver1"
"1610","8624024",0.9375,"ver1"
"1710","8624030",0.9375,"ver1"
"1810","8624032",0.8125,"ver1"
"19","8624035",1,"ver1"
"2010","8624040",1,"ver1"
"2110","8624041",0.875,"ver1"
"2210","8624042",1,"ver1"
