"","sub","game","sum","mean.up","mean.rt","median.rt","mean.switch","mean.payoff","prop","count.trial","flag.trial","flag.variance"
"68",8624011,"coordination",15,1,1031.06666666667,983,0,9.59162303664921,1,15,0,1
"69",8624011,"lottery",1,0.0666666666666667,1923.53333333333,1550,0.0714285714285714,8.43333333333333,0.0666666666666667,15,0,0
"70",8624012,"competition",6,0.4,2128.46666666667,1361,0.357142857142857,9.360907504363,0.4,15,0,0
"71",8624012,"coordination",7,0.466666666666667,2036,1764,0.214285714285714,12.0104712041885,0.466666666666667,15,0,0
"72",8624012,"lottery",6,0.4,1128.4,1015,0.214285714285714,9.4,0.4,15,0,0
"73",8624013,"competition",4,0.266666666666667,3791.17166667263,3707.79600000595,0.428571428571429,8.69982547993019,0.266666666666667,15,0,0
"74",8624013,"coordination",12,0.8,2824.17400000795,1906.87900000597,0.0714285714285714,11.5015706806283,0.8,15,0,0
"75",8624013,"lottery",7,0.466666666666667,1656.39333334168,1490.41499999404,0.0714285714285714,9.63333333333333,0.466666666666667,15,0,0
"76",8624014,"competition",7,0.466666666666667,3826.74773332777,3069.06699998213,0.357142857142857,9.32635253054101,0.466666666666667,15,0,0
"77",8624014,"coordination",10,0.666666666666667,2179.87366665554,1531.65299997616,0.214285714285714,11.4830715532286,0.666666666666667,15,0,0
"78",8624014,"lottery",9,0.6,2527.44986665634,1976.37499998807,0.285714285714286,8.9,0.6,15,0,0
"79",8624015,"competition",5,0.333333333333333,4156.08913333341,3263.98699999999,0.214285714285714,8.93926701570681,0.333333333333333,15,0,0
"80",8624015,"coordination",8,0.533333333333333,2737.79480000021,2433.98600000028,0.0714285714285714,12.4272251308901,0.533333333333333,15,0,0
"81",8624015,"lottery",7,0.466666666666667,1947.3149333335,1478.19200000018,0.0714285714285714,9.63333333333333,0.466666666666667,15,0,0
"82",8624016,"competition",7,0.466666666666667,2139.15479999761,1839.496,0.285714285714286,9.20488656195463,0.466666666666667,15,0,0
"83",8624016,"coordination",7,0.466666666666667,1559.83506666587,1163.83199999403,0.142857142857143,11.2753926701571,0.466666666666667,15,0,0
"84",8624016,"lottery",6,0.4,2185.51386666865,2065.22,0.214285714285714,9.53333333333333,0.4,15,0,0
"85",8624017,"competition",0,0,2707.00700002066,2733.18699999999,0,8,0,15,0,1
"86",8624017,"coordination",14,0.933333333333333,1526.61266668812,1346.20400001193,0.0714285714285714,10.3507853403141,0.933333333333333,15,0,0
"87",8624017,"lottery",10,0.666666666666667,3333.40680001907,2333.08499999999,0.0714285714285714,9.33333333333333,0.666666666666667,15,0,0
"88",8624018,"competition",8,0.533333333333333,4086.06666666667,2165.00000000003,0.0714285714285714,9.72565445026178,0.533333333333333,15,0,0
"89",8624018,"coordination",14,0.933333333333333,2959.33333333334,1726,0.0714285714285714,10.3507853403141,0.933333333333333,15,0,0
"90",8624018,"lottery",3,0.2,3105.26666666667,2112,0.0714285714285714,9.1,0.2,15,0,0
"91",8624019,"competition",8,0.533333333333333,2257.46666666667,1584,0.5,9.38603839441536,0.533333333333333,15,0,0
"92",8624019,"coordination",14,0.933333333333333,1134,999,0.0714285714285714,10.3507853403141,0.933333333333333,15,0,0
"93",8624019,"lottery",7,0.466666666666667,3260.86666666667,2757,0.642857142857143,8.9,0.466666666666667,15,0,0
"94",8624020,"competition",5,0.333333333333333,2068.86666666667,1617,0.214285714285714,9.15986038394415,0.333333333333333,15,0,0
"95",8624020,"coordination",5,0.333333333333333,2534.33333333333,1950,0.214285714285714,11.3273996509599,0.333333333333333,15,0,0
"96",8624020,"lottery",7,0.466666666666667,1847.2,1431,0.0714285714285714,9.63333333333333,0.466666666666667,15,0,0
"97",8624021,"competition",8,0.533333333333333,2407.77653309809,1570.4899997139,0.642857142857143,9.04956369982548,0.533333333333333,15,0,0
"98",8624021,"coordination",13,0.866666666666667,1114.59606646321,986.813999713893,0.0714285714285714,10.99092495637,0.866666666666667,15,0,0
"99",8624021,"lottery",8,0.533333333333333,1473.5823998347,1186.77499999999,0.214285714285714,9.46666666666667,0.533333333333333,15,0,0
"100",8624022,"competition",6,0.4,12389.4448666649,9883.36499999999,0.142857142857143,8.00732984293194,0.4,15,0,0
"101",8624022,"coordination",15,1,7994.84513333115,7583.32800000001,0,9.59162303664921,1,15,0,1
"102",8624022,"lottery",6,0.4,3185.59573333194,2818.01500000007,0.0714285714285714,9.6,0.4,15,0,0
"103",8624023,"competition",6,0.4,2423.23240000011,2051.84599999982,0.285714285714286,9.07469458987784,0.4,15,0,0
"104",8624023,"coordination",5,0.333333333333333,3224.57946666691,3288.97300000019,0.0714285714285714,11.6178010471204,0.333333333333333,15,0,0
"105",8624023,"lottery",6,0.4,2430.96966666686,2003.61400000038,0.214285714285714,9.53333333333333,0.4,15,0,0
"106",8624024,"competition",4,0.266666666666667,2608.03553332499,2034.28099999999,0.214285714285714,8.94624781849913,0.266666666666667,15,0,0
"107",8624024,"coordination",10,0.666666666666667,2620.68226665157,2444.49299999404,0.214285714285714,11.5183246073298,0.666666666666667,15,0,0
"108",8624024,"lottery",9,0.6,1856.81713332459,1411.74400000001,0.214285714285714,9.43333333333333,0.6,15,0,0
"109",8624025,"competition",5,0.333333333333333,4098.73333333334,3837,0.571428571428571,8.49284467713787,0.333333333333333,15,0,0
"110",8624025,"coordination",10,0.666666666666667,1253.4,985,0.0714285714285714,12.2129144851658,0.666666666666667,15,0,0
"111",8624025,"lottery",9,0.6,1982.93333333333,1488,0.0714285714285714,9.5,0.6,15,0,0
"112",8624026,"competition",4,0.266666666666667,4152.12226668177,3355.92200004769,0.428571428571429,8.49214659685864,0.266666666666667,15,0,0
"113",8624026,"coordination",5,0.333333333333333,3311.95900001192,2634.474,0.0714285714285714,11.6178010471204,0.333333333333333,15,0,0
"114",8624026,"lottery",4,0.266666666666667,2232.65993335479,1932.43600004769,0.214285714285714,9.26666666666667,0.266666666666667,15,0,0
"115",8624027,"competition",3,0.2,5522.06666666667,4114,0.428571428571429,8.53577661431065,0.2,15,0,0
"116",8624027,"coordination",15,1,3201.06666666667,2831,0,9.59162303664921,1,15,0,1
"117",8624027,"lottery",4,0.266666666666667,3407.66666666667,2415,0.285714285714286,8.8,0.266666666666667,15,0,0
"118",8624028,"competition",11,0.733333333333333,10159.6782666428,10719.9189999642,0.428571428571429,8.76369982547993,0.733333333333333,15,0,0
"119",8624028,"coordination",11,0.733333333333333,6691.02166664124,6903.75199996424,0.285714285714286,11.38184991274,0.733333333333333,15,0,0
"120",8624028,"lottery",8,0.533333333333333,5870.04046664362,6388.522,0.5,9.06666666666667,0.533333333333333,15,0,0
"121",8624029,"competition",5,0.333333333333333,2537.48073347956,2266.53700019073,0.642857142857143,8.81396160558464,0.333333333333333,15,0,0
