"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"96",9818105,"lottery","trial",1833,6,"left",12,"12.png","15soloseacaso.png",0,"SP","UP","SP",0,0,12
"97",9818105,"lottery","trial",2169,7,"right",1,"1.png","15soloseacaso.png",0,"SP","UP","UP",1,NA,7.5
"98",9818105,"lottery","trial",5503,8,"left",7,"7.png","15soloseacaso.png",0,"SP","UP","SP",0,0,7
"99",9818105,"lottery","trial",1201,9,"right",2,"2.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"100",9818105,"lottery","trial",1634,10,"left",14,"14.png","15soloseacaso.png",0,"SP","UP","SP",0,0,14
"101",9818105,"lottery","trial",2135,11,"left",3,"15soloseacaso.png","3.png",0,"UP","SP","UP",1,0,7.5
"102",9818105,"lottery","trial",1299,12,"left",11,"11.png","15soloseacaso.png",0,"SP","UP","SP",0,0,11
"103",9818105,"lottery","trial",2200,13,"left",5,"15soloseacaso.png","5.png",0,"UP","SP","UP",1,1,7.5
"104",9818105,"lottery","trial",2283,14,"right",4,"15soloseacaso.png","4.png",0,"UP","SP","SP",0,1,4
"105",9818105,"lottery","trial",1334,15,"right",9,"15soloseacaso.png","9.png",0,"UP","SP","SP",0,1,9
"106",9818105,"coordination","trial",5735,1,"right",7,"7.png","15soloseinsieme.png",0,"SP","UP","UP",1,1,11.6037735849057
"107",9818105,"coordination","trial",6036,2,"left",9,"15soloseinsieme.png","9.png",0,"UP","SP","UP",1,1,10.0471698113208
"108",9818105,"coordination","trial",2252,3,"left",6,"6.png","15soloseinsieme.png",0,"SP","UP","SP",0,1,6
"109",9818105,"coordination","trial",3200,4,"right",12,"12.png","15soloseinsieme.png",0,"SP","UP","UP",1,1,7.07547169811321
"110",9818105,"coordination","trial",4100,5,"right",5,"5.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,13.8679245283019
"111",9818105,"coordination","trial",2534,6,"right",15,"15soloseinsieme.png","15.png",0,"UP","SP","SP",0,0,15
"112",9818105,"coordination","trial",3568,7,"right",2,"2.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,14.4339622641509
