"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"204",10933690,"lottery","trial",1791.1000002861,15,"right",2,"2.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"214",10933691,"competition","trial",4664.10000019074,1,"right",12,"15solosesoli.png","12.png",0,"UP","SP","SP",0,0,12
"216",10933691,"competition","trial",3460.60000000001,2,"left",8,"15solosesoli.png","8.png",0,"UP","SP","UP",1,1,5.88785046728972
"218",10933691,"competition","trial",3283.50000009537,3,"left",6,"6.png","15solosesoli.png",0,"SP","UP","SP",0,0,6
"220",10933691,"competition","trial",4129.90000009537,4,"left",1,"15solosesoli.png","1.png",0,"UP","SP","UP",1,NA,2.94392523364486
"222",10933691,"competition","trial",2810.39999999999,5,"left",7,"7.png","15solosesoli.png",0,"SP","UP","SP",0,0,7
"224",10933691,"competition","trial",1880.30000009536,6,"left",11,"11.png","15solosesoli.png",0,"SP","UP","SP",0,0,11
"226",10933691,"competition","trial",998.199999999997,7,"left",10,"10.png","15solosesoli.png",0,"SP","UP","SP",0,0,10
"228",10933691,"competition","trial",1096.00000019073,8,"right",9,"15solosesoli.png","9.png",0,"UP","SP","SP",0,1,9
"230",10933691,"competition","trial",1314.30000009536,9,"right",14,"15solosesoli.png","14.png",0,"UP","SP","SP",0,0,14
"232",10933691,"competition","trial",1061.39999990464,10,"right",5,"15solosesoli.png","5.png",0,"UP","SP","SP",0,0,5
"234",10933691,"competition","trial",1593.39999990464,11,"right",4,"15solosesoli.png","4.png",0,"UP","SP","SP",0,0,4
"236",10933691,"competition","trial",3039.00000009537,12,"left",15,"15.png","15solosesoli.png",0,"SP","UP","SP",0,0,15
"238",10933691,"competition","trial",1702.59999990463,13,"left",2,"2.png","15solosesoli.png",0,"SP","UP","SP",0,1,2
"240",10933691,"competition","trial",1355.50000019073,14,"left",13,"13.png","15solosesoli.png",0,"SP","UP","SP",0,0,13
"242",10933691,"competition","trial",1314.8,15,"right",3,"15solosesoli.png","3.png",0,"UP","SP","SP",0,0,3
"247",10933691,"lottery","trial",2516.39999999999,1,"right",3,"3.png","15soloseacaso.png",0,"SP","UP","UP",1,1,7.5
"249",10933691,"lottery","trial",2512.29999990463,2,"left",4,"4.png","15soloseacaso.png",0,"SP","UP","SP",0,1,4
"251",10933691,"lottery","trial",541.800000286108,3,"left",6,"6.png","15soloseacaso.png",0,"SP","UP","SP",0,0,6
"253",10933691,"lottery","trial",360.000000190732,4,"right",9,"15soloseacaso.png","9.png",0,"UP","SP","SP",0,0,9
"255",10933691,"lottery","trial",1198.80000009536,5,"right",13,"15soloseacaso.png","13.png",0,"UP","SP","SP",0,0,13
"257",10933691,"lottery","trial",1258.70000009537,6,"right",11,"11.png","15soloseacaso.png",0,"SP","UP","UP",1,1,7.5
"259",10933691,"lottery","trial",1108.1000002861,7,"right",5,"15soloseacaso.png","5.png",0,"UP","SP","SP",0,0,5
"261",10933691,"lottery","trial",569,8,"right",7,"15soloseacaso.png","7.png",0,"UP","SP","SP",0,0,7
"263",10933691,"lottery","trial",1000.00000000003,9,"left",12,"12.png","15soloseacaso.png",0,"SP","UP","SP",0,1,12
"265",10933691,"lottery","trial",583.599999999977,10,"left",10,"10.png","15soloseacaso.png",0,"SP","UP","SP",0,0,10
"267",10933691,"lottery","trial",639.199999904638,11,"left",2,"2.png","15soloseacaso.png",0,"SP","UP","SP",0,0,2
"269",10933691,"lottery","trial",582.300000095362,12,"left",1,"1.png","15soloseacaso.png",0,"SP","UP","SP",0,NA,1
"271",10933691,"lottery","trial",920.900000286114,13,"left",15,"15.png","15soloseacaso.png",0,"SP","UP","SP",0,0,15
"273",10933691,"lottery","trial",1622.1000002861,14,"right",8,"15soloseacaso.png","8.png",0,"UP","SP","SP",0,0,8
"275",10933691,"lottery","trial",1221.80000019073,15,"left",14,"14.png","15soloseacaso.png",0,"SP","UP","SP",0,0,14
"280",10933691,"coordination","trial",2383.79999999999,1,"left",4,"15soloseinsieme.png","4.png",0,"UP","SP","UP",1,1,10.2336448598131
"282",10933691,"coordination","trial",1687.7000002861,2,"right",9,"9.png","15soloseinsieme.png",0,"SP","UP","UP",1,1,8.13084112149533
"284",10933691,"coordination","trial",644.999999904627,3,"left",6,"6.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,6
"286",10933691,"coordination","trial",1285.70000000001,4,"right",15,"15soloseinsieme.png","15.png",0,"UP","SP","SP",0,0,15
"288",10933691,"coordination","trial",617.200000000041,5,"right",7,"15soloseinsieme.png","7.png",0,"UP","SP","SP",0,0,7
"290",10933691,"coordination","trial",678.199999904638,6,"left",8,"8.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,8
"292",10933691,"coordination","trial",585.000000095373,7,"right",12,"15soloseinsieme.png","12.png",0,"UP","SP","SP",0,0,12
"294",10933691,"coordination","trial",909.900000190741,8,"right",3,"15soloseinsieme.png","3.png",0,"UP","SP","SP",0,0,3
"296",10933691,"coordination","trial",1094.50000009537,9,"right",10,"15soloseinsieme.png","10.png",0,"UP","SP","SP",0,1,10
"298",10933691,"coordination","trial",548.500000095373,10,"right",1,"15soloseinsieme.png","1.png",0,"UP","SP","SP",0,NA,1
"300",10933691,"coordination","trial",952.600000000006,11,"right",5,"15soloseinsieme.png","5.png",0,"UP","SP","SP",0,1,5
"302",10933691,"coordination","trial",677.200000095356,12,"right",14,"15soloseinsieme.png","14.png",0,"UP","SP","SP",0,0,14
"304",10933691,"coordination","trial",677.100000095379,13,"left",2,"2.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,2
"306",10933691,"coordination","trial",1800.29999999996,14,"left",13,"13.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,13
"308",10933691,"coordination","trial",1201.90000028611,15,"left",11,"11.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,11
"317",10933692,"coordination","trial",4776.19999990463,1,"right",9,"15soloseinsieme.png","9.png",0,"UP","SP","SP",0,1,9
"319",10933692,"coordination","trial",3115.79999995232,2,"left",8,"15soloseinsieme.png","8.png",0,"UP","SP","UP",1,1,8.97196261682243
"321",10933692,"coordination","trial",3358.89999990464,3,"left",2,"15soloseinsieme.png","2.png",0,"UP","SP","UP",1,0,9.81308411214953
"323",10933692,"coordination","trial",2265.3,4,"right",15,"15soloseinsieme.png","15.png",0,"UP","SP","SP",0,0,15
"325",10933692,"coordination","trial",11743.5999999762,5,"right",6,"15soloseinsieme.png","6.png",1,"UP","SP","SP",0,1,6
"327",10933692,"coordination","trial",2508.39999990464,6,"left",12,"12.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,12
"329",10933692,"coordination","trial",1555.6,7,"left",11,"11.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,11
"331",10933692,"coordination","trial",4466.7,8,"right",10,"15soloseinsieme.png","10.png",0,"UP","SP","SP",0,0,10
"333",10933692,"coordination","trial",1782.80000000002,9,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,11.9158878504673
"335",10933692,"coordination","trial",5130.89999997616,10,"right",4,"15soloseinsieme.png","4.png",0,"UP","SP","SP",0,0,4
"337",10933692,"coordination","trial",1905.39999997616,11,"left",13,"13.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,13
"339",10933692,"coordination","trial",10515.7,12,"left",5,"15soloseinsieme.png","5.png",1,"UP","SP","UP",1,1,10.6542056074766
"341",10933692,"coordination","trial",8677.69999992847,13,"left",7,"7.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,7
"343",10933692,"coordination","trial",1972.60000000001,14,"left",14,"14.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,14
"345",10933692,"coordination","trial",7339.69999995231,15,"right",3,"15soloseinsieme.png","3.png",0,"UP","SP","SP",0,1,3
"350",10933692,"competition","trial",3357.10000000001,1,"right",3,"3.png","15solosesoli.png",0,"SP","UP","UP",1,0,3.08411214953271
"352",10933692,"competition","trial",1341.19999997616,2,"right",2,"2.png","15solosesoli.png",0,"SP","UP","UP",1,1,5.18691588785047
"354",10933692,"competition","trial",3089.79999990463,3,"right",10,"15solosesoli.png","10.png",0,"UP","SP","SP",0,0,10
"356",10933692,"competition","trial",1714.00000000003,4,"right",8,"15solosesoli.png","8.png",0,"UP","SP","SP",0,1,8
"358",10933692,"competition","trial",2758.79999995232,5,"left",14,"14.png","15solosesoli.png",0,"SP","UP","SP",0,0,14
"360",10933692,"competition","trial",11178.7999999285,6,"right",13,"15solosesoli.png","13.png",1,"UP","SP","SP",0,0,13
"362",10933692,"competition","trial",3148.69999990464,7,"right",4,"15solosesoli.png","4.png",0,"UP","SP","SP",0,1,4
"364",10933692,"competition","trial",16116.9999999285,8,"left",12,"12.png","15solosesoli.png",1,"SP","UP","SP",0,0,12
"366",10933692,"competition","trial",4351.39999999999,9,"right",11,"15solosesoli.png","11.png",0,"UP","SP","SP",0,0,11
"368",10933692,"competition","trial",3113.29999999999,10,"right",6,"15solosesoli.png","6.png",0,"UP","SP","SP",0,0,6
"370",10933692,"competition","trial",23567.8,11,"left",9,"9.png","15solosesoli.png",1,"SP","UP","SP",0,0,9
"372",10933692,"competition","trial",5753.59999997617,12,"left",7,"15solosesoli.png","7.png",0,"UP","SP","UP",1,1,5.32710280373832
"374",10933692,"competition","trial",2735.70000000001,13,"left",1,"1.png","15solosesoli.png",0,"SP","UP","SP",0,NA,1
