"sub","game","version","sum","mean.up","mean.rt","median.rt","mean.switch","mean.payoff","prop","count.trial","flag.trial","flag.variance","flag.switch.0","flag.switch.1","flag.ns","slope.lottery","flag.slopes","flag.lottery","Gender","Age","age.cat"
"7312963","coordination","ver1",6,0.4,1535.75319999364,1331.01199995232,0.357142857142857,9.81382978723404,0.4,15,0,0,"0","0","0",-2.39097831327908,"0","0","F",11,"Children"
"7312963","lottery","ver1",5,0.333333333333333,1570.57386665713,1339.28999999999,0.357142857142857,9.3,0.333333333333333,15,0,0,"0","0","0",-2.39097831327908,"0","0","F",11,"Children"
"7312964","competition","ver1",8,0.533333333333333,1626.70600021617,1175.808,0.571428571428571,8.66808510638298,0.533333333333333,15,0,0,"0","0","0",0.0711841444450246,"1","1","F",11,"Children"
"7312964","coordination","ver1",5,0.333333333333333,2598.73380027974,2356.408,0.357142857142857,9.47163120567376,0.333333333333333,15,0,0,"0","0","0",0.0711841444450246,"1","1","F",11,"Children"
"7312964","lottery","ver1",8,0.533333333333333,1124.78246687012,1008.77700019073,0.5,7.66666666666667,0.533333333333333,15,0,0,"0","0","0",0.0711841444450246,"1","1","F",11,"Children"
"7312965","competition","ver1",11,0.785714285714286,2307.74807111522,1331.69299952316,0.384615384615385,8.30661094224924,0.733333333333333,14,1,0,"0","0","0",0.204636492195532,"1","1","M",12,"Adolescents"
"7312965","coordination","ver1",6,0.461538461538462,1159.59653802138,937.250999427808,0.583333333333333,8.51882160392799,0.4,13,1,0,"0","0","0",0.204636492195532,"1","1","M",12,"Adolescents"
"7312965","lottery","ver1",9,0.6,1690.62279955495,1325.25299980927,0.5,7.5,0.6,15,0,0,"0","0","0",0.204636492195532,"1","1","M",12,"Adolescents"
"7312966","competition","ver1",7,0.466666666666667,3932.41840003497,3168.59099999999,0.571428571428571,8.22163120567376,0.466666666666667,15,0,0,"0","0","0",-0.292856899070621,"0","0","F",12,"Adolescents"
"7312966","coordination","ver1",9,0.6,2588.71500007311,1838.39799999999,0.571428571428571,8.78404255319149,0.6,15,0,0,"0","0","0",-0.292856899070621,"0","0","F",12,"Adolescents"
"7312966","lottery","ver1",8,0.533333333333333,3688.18353338738,2531.69499995232,0.357142857142857,8.06666666666667,0.533333333333333,15,0,0,"0","0","0",-0.292856899070621,"0","0","F",12,"Adolescents"
"7312967","competition","ver1",8,0.533333333333333,1430.0854666476,1162.03400000001,0.214285714285714,9.10425531914894,0.533333333333333,15,0,0,"0","0","0",-1.6038738379658,"0","0","M",11,"Children"
"7312967","coordination","ver1",10,0.666666666666667,1290.31826664283,1161.52899995232,0.0714285714285714,10.3439716312057,0.666666666666667,15,0,0,"0","0","0",-1.6038738379658,"0","0","M",11,"Children"
"7312967","lottery","ver1",7,0.466666666666667,3762.73613331982,3868.26,0.214285714285714,9.1,0.466666666666667,15,0,0,"0","0","0",-1.6038738379658,"0","0","M",11,"Children"
